file,class_name,source_origin,source_topic,loc,is_interactive_program,src_compiled,src_compile_errors,src_warnings,runtime_attempted,runtime_errors,exception_types,test_exists,test_compiled,test_compile_errors,tests_passed,tests_failed,tests_total,test_status,total_defects,defect_density,density_grade,is_defective,defect_types
MergeSortedArrays.java,MergeSortedArrays,unknown,,16,False,True,0,0,False,0,,True,True,0,3,2,5,tests_executed,2,125.0,High,1,test_failure
MergeTwoBinaryTrees.java,MergeTwoBinaryTrees,unknown,,9,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,111.11,High,1,test_failure
MergeTwoBinaryTreesII.java,MergeTwoBinaryTreesII,unknown,,9,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,111.11,High,1,test_failure
MergeTwoLinkedLists.java,MergeTwoLinkedLists,unknown,,25,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MergeTwoSortedLists.java,MergeTwoSortedLists,unknown,,22,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MiddleCharacterFinder.java,MiddleCharacterFinder,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinCostToConnectAllPoints.java,MinCostToConnectAllPoints,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinCostToConnectAllPointsII.java,MinCostToConnectAllPointsII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinCostToConnectAllPointsIII.java,MinCostToConnectAllPointsIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinCostToConnectAllPointsIV.java,MinCostToConnectAllPointsIV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinCostToConnectAllPointsV.java,MinCostToConnectAllPointsV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinStack.java,MinStack,unknown,,16,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,62.5,High,1,test_failure
MinStackII.java,MinStackII,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinStackIII.java,MinStackIII,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinStackIV.java,MinStackIV,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinStackSimulator.java,MinStackSimulator,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinStackWithGetMin.java,MinStackWithGetMin,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostClimbingStairs.java,MinimumCostClimbingStairs,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostForTickets.java,MinimumCostForTickets,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostForTicketsII.java,MinimumCostForTicketsII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostForTicketsIII.java,MinimumCostForTicketsIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostForTicketsIV.java,MinimumCostForTicketsIV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostForTicketsV.java,MinimumCostForTicketsV,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostForTicketsVI.java,MinimumCostForTicketsVI,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostForTicketsVII.java,MinimumCostForTicketsVII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostMergeStones.java,MinimumCostMergeStones,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostToConnectAllCities.java,MinimumCostToConnectAllCities,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostToMakeAtLeastOneValidPath.java,MinimumCostToMakeAtLeastOneValidPath,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostToMergeStonesII.java,MinimumCostToMergeStonesII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumCostToMergeStonesIII.java,MinimumCostToMergeStonesIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumDistanceBST.java,MinimumDistanceBST,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumDistanceBetweenBSTNodes.java,MinimumDistanceBetweenBSTNodes,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumFallingPathSum.java,MinimumFallingPathSum,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumFallingPathSumII.java,MinimumFallingPathSumII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumFallingPathSumIII.java,MinimumFallingPathSumIII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumFinder.java,MinimumFinder,unknown,,9,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumFuelCostToReportToCapital.java,MinimumFuelCostToReportToCapital,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumGeneticMutation.java,MinimumGeneticMutation,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumGeneticMutationII.java,MinimumGeneticMutationII,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumHeightTrees.java,MinimumHeightTrees,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumPathSum.java,MinimumPathSum,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumPathSumGrid.java,MinimumPathSumGrid,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumPathSumGridII.java,MinimumPathSumGridII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumPathSumGridIII.java,MinimumPathSumGridIII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumPathSumGridIV.java,MinimumPathSumGridIV,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumRemoveToMakeValidParentheses.java,MinimumRemoveToMakeValidParentheses,unknown,,17,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
MinimumRemoveToMakeValidParenthesesII.java,MinimumRemoveToMakeValidParenthesesII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumSwapsToMakeIncreasing.java,MinimumSwapsToMakeIncreasing,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumWindowSubstring.java,MinimumWindowSubstring,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumWindowSubstringII.java,MinimumWindowSubstringII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumWindowSubstringIII.java,MinimumWindowSubstringIII,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumWindowSubstringIV.java,MinimumWindowSubstringIV,unknown,,5,False,True,0,0,False,0,,True,True,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
MinimumWindowSubstringIX.java,MinimumWindowSubstringIX,unknown,,5,False,True,0,0,False,0,,True,True,0,1,0,1,tests_executed,0,0.0,Clean,0,none
