file,class_name,source_origin,source_topic,total_lines,blank_lines,comment_lines,loc,class_count,method_count,field_count,import_count,if_count,loop_count,switch_count,catch_count,throw_count,return_count,public_method_count,static_method_count,has_main_method,max_nesting_depth,cyclomatic_estimate,avg_method_loc,comment_ratio,has_unchecked_division,has_array_bounds_risk,has_null_handling_risk,has_possible_null_dereference,has_swallowed_exception,has_resource_leak_risk,has_infinite_loop_risk,has_unbounded_recursion_risk,has_missing_input_validation,is_interactive_program,src_compiled,src_compile_errors,src_warnings,runtime_attempted,runtime_errors,test_exists,test_compiled,test_compile_errors,test_warnings,tests_passed,tests_failed,tests_total,test_status,total_defects,defect_density,density_grade,is_defective,defect_types
ArrayBoundaryCrash.java,ArrayBoundaryCrash,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,0,False,2,1,3.0,0.0,0,1,0,0,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayCloner.java,ArrayCloner,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,0,False,2,1,3.0,0.0,0,0,0,1,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,1,0,1,tests_executed,0,0.0,Clean,0,none
ArrayDifferenceCalculator.java,ArrayDifferenceCalculator,unknown,,11,0,0,11,1,1,0,0,2,1,0,0,0,1,1,0,False,3,4,9.0,0.0,0,1,0,0,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,0,1,1,tests_executed,1,90.91,High,1,test_failure
ArrayDuplicateChecker.java,ArrayDuplicateChecker,unknown,,20,5,0,15,1,1,0,1,1,1,0,0,0,2,1,1,False,4,3,11.0,0.0,0,0,0,1,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,3,0,3,tests_executed,0,0.0,Clean,0,none
ArrayElementSummer.java,ArrayElementSummer,unknown,,11,2,0,9,1,1,0,0,0,1,0,0,0,1,1,1,False,3,2,7.0,0.0,0,0,0,0,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,3,0,3,tests_executed,0,0.0,Clean,0,none
ArrayFrontElement.java,ArrayFrontElement,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,0,False,2,1,3.0,0.0,0,1,0,0,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,0,1,1,tests_executed,1,200.0,High,1,test_failure
ArrayIndexCrasher.java,ArrayIndexCrasher,unknown,,5,0,0,5,1,1,0,0,0,0,0,0,0,1,1,1,False,2,1,3.0,0.0,0,1,0,0,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,0,3,3,tests_executed,3,600.0,High,1,test_failure
ArrayIntersectionFinder.java,ArrayIntersectionFinder,unknown,,36,9,0,27,1,1,0,1,1,3,0,0,0,1,1,1,False,4,5,23.0,0.0,0,1,0,1,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,2,1,3,tests_executed,1,37.04,High,1,test_failure
ArrayMaxDifference.java,ArrayMaxDifference,unknown,,11,0,0,11,1,1,0,0,1,1,0,0,0,2,1,1,False,3,3,9.0,0.0,0,0,0,0,0,0,0,0,0,False,True,0,0,False,0,True,True,0,0,0,1,1,tests_executed,1,90.91,High,1,test_failure
ArrayMedianFinder.java,ArrayMedianFinder,unknown,,15,4,0,11,1,1,0,1,1,0,0,0,0,2,1,0,False,3,2,8.0,0.0,0,1,0,1,0,0,0,0,1,False,True,0,0,False,0,True,True,0,0,0,3,3,tests_executed,3,272.73,High,1,test_failure
